"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"@Turdhat2 Everyone can smell the marijuana on your breath &amp; on your clothes.",FALSE,5,"Turdhat2",2017-05-07 16:41:48,FALSE,"861110706824822790","861259782736363520","4456503974","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ventchat",0,FALSE,FALSE,NA,NA,"ventchat.com","en","http://pbs.twimg.com/profile_images/730196852864208897/rPiiTVfM_normal.jpg"
"The NFL Is America's Newest Marijuana Battleground @alternet https://t.co/UFWQ5VQ86F",FALSE,0,NA,2017-05-07 16:41:42,FALSE,NA,"861259758510145537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Allison59798116",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/815514351092244480/er4ISFXD_normal.jpg"
"I'm high
Its Sunday 
Well praise the lord for marijuana
@vanschoyckmetal <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>",FALSE,1,NA,2017-05-07 16:41:22,FALSE,NA,"861259674586419200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tiffanyslone78",0,FALSE,FALSE,NA,NA,"Kentucky","en","http://pbs.twimg.com/profile_images/860596529362612226/EfaY6fVS_normal.jpg"
"@naamah_pi We can now see why marijuana has been so ferociously, ridiculously illegal for a hundred (cont) https://t.co/DFigtydMDz",FALSE,0,"naamah_pi",2017-05-07 16:41:14,FALSE,NA,"861259641073709056","405446692","<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>","_HardRowToHoe_",0,FALSE,FALSE,NA,NA,"Wells (where?), Nevada","en","http://pbs.twimg.com/profile_images/432407425354702848/ndu3oBxT_normal.jpeg"
"Alcohol and marijuana increases estrogen causing Black men to become feminized.-@wesleymuhammad",FALSE,1,NA,2017-05-07 16:40:42,FALSE,NA,"861259506860392449",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KazeemJaleel",3,FALSE,FALSE,NA,NA,"Cleveland Ohio","en","http://pbs.twimg.com/profile_images/789890625051123712/PiXSDL3b_normal.jpg"
"11 Highly Influential People Who Support Legalizing Marijuana … – Motley Fool
https://t.co/7PRYNukrMX",FALSE,0,NA,2017-05-07 16:40:29,FALSE,NA,"861259453517234176",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","droolindog",0,FALSE,FALSE,NA,NA,"New York, USA","en","http://pbs.twimg.com/profile_images/511269922719031296/zPNslJ7g_normal.jpeg"
"11 Highly Influential People Who Support Legalizing Marijuana … – Motley Fool https://t.co/bP61JyhQP4",FALSE,0,NA,2017-05-07 16:40:13,FALSE,NA,"861259386186063872",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","MeshellyGeorge",0,FALSE,FALSE,NA,NA,"Greater New York Area","en","http://pbs.twimg.com/profile_images/860595275571900418/B2plAOs3_normal.jpg"
"forever smelling like Chanel and marijuana <U+2764><U+FE0F>",FALSE,1,NA,2017-05-07 16:39:50,FALSE,NA,"861259290086191107",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lilsherraina",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/856318883434815488/1EDBF9Ib_normal.jpg"
"Heart valve auscultation sites
""All People Try Marijuana"":
Aortic
Pulmonic
Tricuspid
Mitral",FALSE,57,NA,2017-05-07 16:39:41,FALSE,NA,"861259250709823489",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","master_usmle",28,FALSE,FALSE,NA,NA,"","ja","http://pbs.twimg.com/profile_images/3192137025/95505f231f19ad89caa55b1b36715a6e_normal.jpeg"
"The Estrogen (estradiol) assault. Marijuana with this increased THC &amp; Liquor is the one two punch —@wesleymuhammad #NOISundays @MosqueMaryam",FALSE,4,NA,2017-05-07 16:39:21,FALSE,NA,"861259167276904448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MessageofTruth",9,FALSE,FALSE,NA,NA,"Atlanta, Georgia","en","http://pbs.twimg.com/profile_images/806162818865172480/6TDB8RP2_normal.jpg"
