"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"@radricadavis OG Kush, strawberry cough, northern lights, gorilla glue, lemon kush.",FALSE,1,"radricadavis",2017-05-06 05:20:10,FALSE,"860724356875517952","860725858738286592","2874704218","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JayOAre",1,FALSE,FALSE,NA,NA,"NE • GA","en","http://pbs.twimg.com/profile_images/825417511470510080/p9ma_vHz_normal.jpg"
"Bhakts are looking very kush about the Republic channel &amp; Arnab returning, why not.. He's their pet dog! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,2,NA,2017-05-06 05:18:51,FALSE,NA,"860725525177810944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","smadygo",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/820509352389971968/6LTMEl7Q_normal.jpg"
"@imash_kush @TimesNow @republic Both are bjp benamis sponsored channels.Nations wants more of bjp
HaHa",FALSE,0,"imash_kush",2017-05-06 05:18:34,FALSE,"860723008935256065","860725454092865536","3163437114","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KURIAAAAAAAAAAA",0,FALSE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"Sup peasant of capitalism. 420 lives in your heart so Cool kids like Arrogant Hacker Kush.",FALSE,0,NA,2017-05-06 05:17:38,FALSE,NA,"860725220822458368",NA,"<a href=""http://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","dankbot666420",0,FALSE,FALSE,NA,NA,"Cannabis States of Weedmerica","en","http://pbs.twimg.com/profile_images/855185447743520768/7542IS2J_normal.jpg"
"@SHlSHIDO the good rest.....the good kush",FALSE,1,"SHlSHIDO",2017-05-06 05:15:48,FALSE,"860724673599856642","860724758287011840","810413455572398080","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JlNZOUENEMY",0,FALSE,FALSE,NA,NA,"icon by @KTPN","en","http://pbs.twimg.com/profile_images/859539296281350144/gRiNMdQO_normal.jpg"
"Remy &amp; Pineapple Juice wit Jet Fuel Kush....",FALSE,0,NA,2017-05-06 05:14:48,FALSE,NA,"860724506846912512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FucaBrokeBitch",0,FALSE,FALSE,NA,NA,"TAM'S BURGER ON 101st & FIG...","en","http://pbs.twimg.com/profile_images/853435483753291776/PPbsbCdw_normal.jpg"
"if I can I will literally keep reinstalling + rerolling gbf until I get the good kush (pretty girls)",FALSE,2,NA,2017-05-06 05:12:32,FALSE,NA,"860723934638911489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rodimustar",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/855515651510632448/ewrniLXz_normal.jpg"
"for whom the kush hits",FALSE,7,NA,2017-05-06 05:11:33,FALSE,NA,"860723690656464898",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","caleb_blog",0,FALSE,FALSE,NA,NA,"Toronto, Ontario","en","http://pbs.twimg.com/profile_images/832258963144048640/7D-AE8F0_normal.jpg"
"rull up the kush and let's get high .. take it to a galaxy <ed><U+00A0><U+00BD><ed><U+00B1><U+00B9><ed><U+00A0><U+00BD><ed><U+00B2><U+00A8>",FALSE,0,NA,2017-05-06 05:10:08,FALSE,NA,"860723330478944257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_badgalthai",0,FALSE,FALSE,NA,NA,"RESERVE","en","http://pbs.twimg.com/profile_images/858504617688223744/Of8gBbQe_normal.jpg"
"<ed><U+00A0><U+00BD><ed><U+00B2><U+00A8>Smoking Kush thinking about all the bullshit<ed><U+00A0><U+00BE><ed><U+00B4><U+0094>",FALSE,0,NA,2017-05-06 05:09:37,FALSE,NA,"860723203278241792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GGetpaid",0,FALSE,FALSE,NA,NA,"Texas, USA","en","http://pbs.twimg.com/profile_images/845490691530805248/B1_n-a8C_normal.jpg"
